arrival_time,departure_time,service_id,operating_days
6:40:00,6:40:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
6:55:00,6:55:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
7:10:00,7:10:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
7:25:00,7:25:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
7:40:00,7:40:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
8:10:00,8:10:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
8:25:00,8:25:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
8:55:00,8:55:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
9:40:00,9:40:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
9:55:00,9:55:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
10:10:00,10:10:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
10:25:00,10:25:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
10:40:00,10:40:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
11:10:00,11:10:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
11:25:00,11:25:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
11:40:00,11:40:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
12:25:00,12:25:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
12:40:00,12:40:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
12:55:00,12:55:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
13:10:00,13:10:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
13:40:00,13:40:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
14:10:00,14:10:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
14:25:00,14:25:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
14:40:00,14:40:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
15:10:00,15:10:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
15:25:00,15:25:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
15:40:00,15:40:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
15:55:00,15:55:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
16:10:00,16:10:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
16:55:00,16:55:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
17:10:00,17:10:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
17:25:00,17:25:00,1111100-2,"Monday, Tuesday, Wednesday, Thursday, Friday"
